time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.6438037645189195e-08,6.81946495875521e-07,10.0071025677661,6.282626939862837,6.282820207104155,0.0,1.8061055692035092e-05,8.497342109628353e-06,0.2367324938703058,-0.044191249735865135,-0.022458763869737577,0.0,479.56720123268195,477.85863632934394,479.61105041618106,476.2434642507218
0.12000000000000001,1.8372482996880036e-05,-2.8435289956273816e-05,10.03185550949193,6.279610421180681,6.281536428627426,0.0,0.0007765077193565362,-0.0013677590120671013,0.588251099492519,-0.06663620437001674,-0.019352012351902655,0.0,510.8973432729428,511.11883000626545,511.0082823483974,509.40468959279474
0.18,0.00011017179131612668,-0.00021459840942168013,10.073711265964404,6.275931733625036,6.280052582823169,0.0,0.0024376660150743426,-0.005294010408473159,0.8068093795536476,-0.05236381033806685,-0.038561645439339334,0.0,473.9814180156412,472.50290723905897,473.04246820538617,474.1375763141281
0.23999999999999996,0.00032892881575820196,-0.0006910859490745476,10.124797258660005,6.273214740711239,6.277454839818716,0.0,0.0050982992714108805,-0.010879661937020568,0.8959875671925306,-0.03395117854151334,-0.055017048123917375,0.0,434.53915981837577,433.15653966813306,433.66057034564125,435.20290693227014
0.3,0.0007379440449949785,-0.0015132359327003429,10.177263241399519,6.2708208156382685,6.274797837244318,0.0,0.00877184075143931,-0.016701535452730062,0.8529085352060773,-0.05574950773473915,-0.028625903988674296,0.0,388.46108930411924,390.9260557398813,390.76335401508896,388.72505473423814
0.36000000000000004,0.0014545659988400793,-0.002799201289806607,10.232637076373909,6.267157810920935,6.273063582761166,0.0,0.01530082347742878,-0.02653740844673436,0.9927676727248093,-0.07460964258900821,-0.02946671543203574,0.0,450.0255664561305,449.9572820351173,451.0780895316546,449.54991169564835
0.4200000000000001,0.0025930918900634796,-0.004747199298319843,10.295676545999095,6.262136696366007,6.271620844400701,0.0,0.02281459275248327,-0.03887434072257698,1.1084320924835052,-0.11630363549884759,-0.0149587321884809,0.0,443.03728330996694,444.2282850542166,443.872079796681,440.43081461109875
0.48000000000000015,0.004234646658246035,-0.00759872053080196,10.367756751476273,6.255213719886594,6.270413527277697,0.0,0.032019131229895796,-0.056969002345636136,1.2940290508198216,-0.11360396951634284,-0.03322893871685842,0.0,465.48636864095414,464.05459157032993,464.27863001593374,464.4790971374926
0.5400000000000001,0.0064846736780336135,-0.011748337762640814,10.452751493756232,6.248236920886258,6.268092609842931,0.0,0.04324025847778303,-0.0821931979396218,1.5388016843381904,-0.12224945991016688,-0.05276520540488604,0.0,483.169685851928,481.6940291071724,482.72469665235064,482.06093365608
0.6000000000000002,0.009392941239590216,-0.01740703033592282,10.547439973500786,6.240961548492665,6.265158188279004,0.0,0.054000925302330666,-0.10714765462796379,1.617339164505571,-0.11934206253998145,-0.04213484086755485,0.0,432.1713460448329,433.06476942375133,432.41761224262206,432.6487121947053
0.6600000000000003,0.013064645126129567,-0.02485166288016362,10.650133153511588,6.233899617930959,6.2623350935097974,0.0,0.068689148368522,-0.14181224152373675,1.8054434335028964,-0.11460260683735021,-0.05935131595329125,0.0,467.5769631078771,466.23259133251685,466.5317058719827,466.88986438870296
0.7200000000000003,0.017588074526662036,-0.034305727083282146,10.759480442938484,6.226983989137906,6.259016330348381,0.0,0.08240719380791446,-0.1739562231025829,1.839368330980039,-0.11660849978821818,-0.048263108178734165,0.0,418.77955315155094,419.7405669916995,418.88463023573036,418.69740363756665
0.7800000000000004,0.02306061712369984,-0.04597172894601896,10.873524616357862,6.219858745965702,6.2561356833723565,0.0,0.10031027904513302,-0.2156418936758578,1.9618446227225537,-0.12342834777297902,-0.047511014468072967,0.0,447.1116580585569,447.171534385714,448.6045071564118,448.0378373558206
0.8400000000000004,0.02965333335883238,-0.06025620952982499,10.994346449454572,6.212079032069033,6.253062165583133,0.0,0.11974443650013153,-0.26126918685384126,2.065300955486364,-0.14657841869827024,-0.059937653618924815,0.0,442.8879820618917,441.8630416762972,443.26419623305037,441.341807401847
0.9000000000000005,0.03748379136273946,-0.07745698701188974,11.121522133653045,6.203082143734324,6.249134605666606,0.0,0.14165002287584197,-0.31299204771351097,2.1735974502657625,-0.15771112772702686,-0.07977559470218443,0.0,444.57476938211136,442.94307589503046,445.55332324678164,444.62102613419586
0.9600000000000005,0.04677429067106781,-0.09809034150466225,11.256867157473602,6.193607371942836,6.2446802669033445,0.0,0.168535801095188,-0.37581390188601843,2.337460208612359,-0.15831888026860585,-0.06499254276028207,0.0,462.42488901660266,463.58372680844167,461.4260502056824,461.3554318116839
1.0200000000000005,0.05775080726503999,-0.12264946904872787,11.401412809400673,6.185226402267052,6.241295984781278,0.0,0.19772691548046267,-0.44374803589636563,2.480304793990426,-0.1168052837871042,-0.04319468340042323,0.0,456.29457383353133,458.0291345962505,454.6507014478393,457.9456218628278
1.0800000000000005,0.07056591192752473,-0.1514996262756587,11.55491322617686,6.178983246332207,6.238573111983435,0.0,0.22972061300690083,-0.5186108488922936,2.635919914334746,-0.08631286094571897,-0.050156750594397434,0.0,460.96922435263735,460.41762092820437,461.10098266484613,463.49401093995806
1.1400000000000006,0.08537732124997251,-0.18500770375475054,11.71804223892596,6.17353174240696,6.235223158157918,0.0,0.2643261002617506,-0.5988748581769872,2.8012142340927553,-0.10199006463787676,-0.07069304044075304,0.0,467.2505804860141,465.64475216037357,464.90119328808225,463.66453672202243
1.2000000000000006,0.10204506417227134,-0.22277686620648032,11.884934463371042,6.167221946968294,6.230956248959368,0.0,0.29161629874853656,-0.6606139006029353,2.761855771053021,-0.11240818626896784,-0.0719725545463362,0.0,400.0812761170772,399.96026142526506,400.61581372971165,399.6562856177885
1.2600000000000007,0.12083951129315744,-0.26528003475909967,12.057289025956134,6.160500388340932,6.226971942509863,0.0,0.3353309904850882,-0.7568986555766566,2.982577236058211,-0.11127298020409958,-0.05711477258589543,0.0,482.0870842218024,483.20544876665684,483.1694996716592,483.2450420616421
1.3200000000000007,0.14207756602676305,-0.31313134836687956,12.23810317089503,6.153927305515106,6.223565308145986,0.0,0.3729224885082955,-0.8387633589010381,3.0442550096534435,-0.10631588328117104,-0.056110849662563446,0.0,435.5135932502004,435.5952776813246,435.6342165076423,436.03766335910143
1.3800000000000008,0.165752622442611,-0.36627060274527884,12.424487384914993,6.1479056543156325,6.219983607749562,0.0,0.416588889112002,-0.933153247883918,3.1680522643735958,-0.09053467061385129,-0.06804709089440795,0.0,456.1874746478993,455.2308785442513,455.65363550002195,456.9049787820279
1.4400000000000008,0.19204004362807878,-0.4250151176863833,12.616926616933632,6.1422700009835225,6.2157993878676265,0.0,0.4600503622531668,-1.0255137437389141,3.24620833794445,-0.10175728733700813,-0.07334920976046655,0.0,442.9639330144462,442.52395497920213,443.1751109788632,442.24408377868144
1.5000000000000009,0.22109069194536468,-0.4895642265237481,12.815052793133123,6.135969067982149,6.2114456901941,0.0,0.5087334849077747,-1.126718882071035,3.3574796630385926,-0.11248507747950547,-0.07103206178830095,0.0,453.69928622609325,453.88133693484275,454.6450816735824,453.77525992999557
1.560000000000001,0.25304790147488826,-0.5601078456384696,13.018393956384157,6.128802126714708,6.2075688351386376,0.0,0.5568793564003083,-1.2253730369585165,3.42016595770201,-0.13939257422761125,-0.054157168881819796,0.0,439.7949231237747,441.1872462016504,440.1165961834573,437.8701712817876
1.620000000000001,0.2885017267499649,-0.6378085374785227,13.232397464459696,6.120261437796033,6.2046615156501765,0.0,0.625235137060892,-1.365600598992475,3.71204763972504,-0.14901308529787902,-0.03897567650974409,0.0,508.131018756965,509.21703387023473,509.8307906913088,509.1268089094957
1.680000000000001,0.32763680685043833,-0.7231330006655693,13.457722438053953,6.111080448638571,6.202309203895336,0.0,0.67946887127468,-1.4794020462075734,3.79821734833963,-0.16253561147903398,-0.03966811248805768,0.0,450.9820954178147,450.92541519218264,451.0119192836154,449.8964065970306
1.740000000000001,0.3701655349502327,-0.8156719093819539,13.68929369672882,6.102144387828956,6.199644870735684,0.0,0.738372081290375,-1.6061237127469543,3.920081260697673,-0.1303769606132711,-0.05613736574904791,0.0,463.0634752524655,461.7649028196742,462.4348676184487,464.940645570393
1.8000000000000012,0.41590517531606586,-0.9151766289238356,13.92366447130947,6.094032550583707,6.196393655744171,0.0,0.7865553160413559,-1.7113794561650213,3.892110957650598,-0.14717750729578896,-0.05054784624963007,0.0,415.48288656442213,415.9705184180486,417.07849721002026,415.5899130464794
1.8600000000000012,0.4648370829293926,-1.021677503225892,14.159104345245623,6.085296313711014,6.193494059568792,0.0,0.8447606103667259,-1.8394507831064055,3.9553217994455103,-0.1426326172644531,-0.044219298637537034,0.0,446.6510219429716,447.16546956432967,446.2304533048438,446.58159998864437
1.9200000000000013,0.5177507151153056,-1.1369908349185647,14.40301241077387,6.076920928688057,6.191353933585869,0.0,0.9192159508450025,-2.0051663923151692,4.173722260965981,-0.134115094883272,-0.0225015292310159,0.0,494.3138950102268,495.9113273927814,494.67007832631293,495.28098388051507
1.9800000000000013,0.5747120615050502,-1.2614151930705078,14.655048871693074,6.069086742672749,6.190506805955797,0.0,0.9795537291049942,-2.143024178482286,4.226940674580187,-0.12429049763056384,-0.0011522188893827836,0.0,445.81344395676075,447.55472482880555,447.3614888476691,448.145280578041
